ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
7761,Silent Möbius,Manga,12,1991 - 2003,https://myanimelist.net/manga/228/Silent_Möbius,https://cdn.myanimelist.net/r/100x140/images/manga/4/278215.jpgSem informaçõess=9fed5372269f8c0fd07df8ece1b38564
7762,Boku wa Ookami.,Manga,5,Dec 2010 - Aug 2012,https://myanimelist.net/manga/25810/Boku_wa_Ookami,https://cdn.myanimelist.net/r/100x140/images/manga/2/189820.jpgSem informaçõess=66a67490487d9f351c76516d7b8319d5
7763,Ouji-sama no Riyuu,Manga,1,Jun 2014 - Jan 2019,https://myanimelist.net/manga/80395/Ouji-sama_no_Riyuu,https://cdn.myanimelist.net/r/100x140/images/manga/2/250507.jpgSem informaçõess=9972befe9392d72b56a43c40d565194f
7764,Skeleton Sister,One-shot,Sem informações,Feb 2014 - Feb 2014,https://myanimelist.net/manga/89148/Skeleton_Sister,https://cdn.myanimelist.net/r/100x140/images/manga/2/155909.jpgSem informaçõess=4784e3000d16bbbcaa569c0784c3d7e2
7765,Sawaranaide Kotesashi-kun,Manga,Sem informações,May 2021 -,https://myanimelist.net/manga/136412/Sawaranaide_Kotesashi-kun,https://cdn.myanimelist.net/r/100x140/images/manga/3/251219.jpgSem informaçõess=dd7d4b35bcbc99adffa8f5af3f6844b6
7766,The Dark Lord's Confession,Manhwa,Sem informações,Apr 2022 -,https://myanimelist.net/manga/149067/The_Dark_Lords_Confession,https://cdn.myanimelist.net/r/100x140/images/manga/3/264527.jpgSem informaçõess=8662eb7a53288646d5d56e8ea24d67ee
7767,Hitotsubana,Manga,7,Jan 2017 - Jul 2018,https://myanimelist.net/manga/108183/Hitotsubana,https://cdn.myanimelist.net/r/100x140/images/manga/1/198124.jpgSem informaçõess=77f00c714052b1bc00eb83820911227a
7768,Otome Game Sekai wa Mob ni Kibishii Sekai desu,Light-Novel,Sem informações,May 2018 -,https://myanimelist.net/manga/116557/Otome_Game_Sekai_wa_Mob_ni_Kibishii_Sekai_desu,https://cdn.myanimelist.net/r/100x140/images/manga/3/233906.jpgSem informaçõess=38aaa93c549c830b7fcf5091f54268eb
7769,Pochapocha Suiei-bu,Manga,5,Mar 2010 - Feb 2015,https://myanimelist.net/manga/35739/Pochapocha_Suiei-bu,https://cdn.myanimelist.net/r/100x140/images/manga/2/150555.jpgSem informaçõess=c73281d5ea14380942d051c952b4ff7f
7770,Karakuri Douji Ultimo,Manga,12,Feb 2009 - Oct 2015,https://myanimelist.net/manga/6941/Karakuri_Douji_Ultimo,https://cdn.myanimelist.net/r/100x140/images/manga/1/161533.jpgSem informaçõess=74a93460b936f5813ae1285666dec155
7771,Majo to Yajuu,Manga,Sem informações,Nov 2016 -,https://myanimelist.net/manga/106204/Majo_to_Yajuu,https://cdn.myanimelist.net/r/100x140/images/manga/1/200778.jpgSem informaçõess=d4333af9f516d29cbe110d2fa486a2ae
7772,High Position,Manga,5,Jan 2017 - Nov 2018,https://myanimelist.net/manga/107251/High_Position,https://cdn.myanimelist.net/r/100x140/images/manga/1/197888.jpgSem informaçõess=a027012367ffa3ed81b1eddb3448693c
7773,Seirei Gakusha Kidan Reikyou Kaden,Manga,2,Apr 2008 - Oct 2009,https://myanimelist.net/manga/15066/Seirei_Gakusha_Kidan_Reikyou_Kaden,https://cdn.myanimelist.net/r/100x140/images/manga/1/21836.jpgSem informaçõess=c6946aec6839fcd71cc207e0cd57b49c
7774,Shin Megami Tensei IV: Demonic Gene,Manga,2,Jun 2013 - 2014,https://myanimelist.net/manga/58039/Shin_Megami_Tensei_IV__Demonic_Gene,https://cdn.myanimelist.net/r/100x140/images/manga/2/182110.jpgSem informaçõess=c3ab96d519aa492e79b655e59ebc48e9
7775,Angel Voice,Manga,40,Apr 2007 - Sep 2014,https://myanimelist.net/manga/20806/Angel_Voice,https://cdn.myanimelist.net/r/100x140/images/manga/1/138559.jpgSem informaçõess=0bc3d615630ccec124bc6b436a55b9e6
7776,"Ima, Koi wo Shiteimasu.",Manga,Sem informações,Dec 2019 -,https://myanimelist.net/manga/126371/Ima_Koi_wo_Shiteimasu,https://cdn.myanimelist.net/r/100x140/images/manga/2/233772.jpgSem informaçõess=ff8d39c0bf3030cde135558184bf9666
7777,Kenja no Deshi wo Nanoru Kenja,Light-Novel,Sem informações,Jun 2014 -,https://myanimelist.net/manga/73823/Kenja_no_Deshi_wo_Nanoru_Kenja,https://cdn.myanimelist.net/r/100x140/images/manga/3/176763.jpgSem informaçõess=2a371854951ab1936d67df3771939300
7778,Hypnosis Mic: Before The Battle - The Dirty Dawg,Manga,4,Dec 2018 - Jul 2020,https://myanimelist.net/manga/117044/Hypnosis_Mic__Before_The_Battle_-_The_Dirty_Dawg,https://cdn.myanimelist.net/r/100x140/images/manga/3/221223.jpgSem informaçõess=96915813313be55975b765f3e51e60b4
7779,Dragon Kishidan,Manga,26,1990 - Apr 2007,https://myanimelist.net/manga/303/Dragon_Kishidan,https://cdn.myanimelist.net/r/100x140/images/manga/2/180630.jpgSem informaçõess=a24692acc0b8fb51a8d65acfc17e90f4
7780,"Wakeari Akuyaku Reijou wa, Konyaku Hakigo no Jinsei wo Jiyuu ni Ikiru",Manga,4,Aug 2018 - Dec 2020,https://myanimelist.net/manga/118957/Wakeari_Akuyaku_Reijou_wa_Konyaku_Hakigo_no_Jinsei_wo_Jiyuu_ni_Ikiru,https://cdn.myanimelist.net/r/100x140/images/manga/3/224333.jpgSem informaçõess=126f4868620968b4ac28e4273456851b
7781,Isekai Shihai no Skill Taker: Zero kara Hajimeru Dorei Harem,Light-Novel,Sem informações,Jun 2015 -,https://myanimelist.net/manga/89320/Isekai_Shihai_no_Skill_Taker__Zero_kara_Hajimeru_Dorei_Harem,https://cdn.myanimelist.net/r/100x140/images/manga/1/158165.jpgSem informaçõess=48a9b85f6e7ff2f338dabbd11c93a679
7782,Sekai no Owari to Majo no Koi,Manga,3,Oct 2018 - Aug 2020,https://myanimelist.net/manga/123347/Sekai_no_Owari_to_Majo_no_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/3/226437.jpgSem informaçõess=212da38f4a3e0b465dee445645b6667c
7783,Boku no Idol,One-shot,Sem informações,Apr 2010 - Apr 2010,https://myanimelist.net/manga/19443/Boku_no_Idol,https://cdn.myanimelist.net/r/100x140/images/manga/2/29923.jpgSem informaçõess=7283933b7e858081b5e2ef0b9a1befa6
7784,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",Manga,Sem informações,Jul 2016 -,https://myanimelist.net/manga/100127/Uchi_no_Ko_no_Tame_naraba_Ore_wa_Moshikashitara_Maou_mo_Taoseru_kamo_Shirenai,https://cdn.myanimelist.net/r/100x140/images/manga/2/189919.jpgSem informaçõess=585949784ff471106bbc25fc96ace7c4
7785,Sekaiichi Zankoku de Utsukushii Grimm Douwa,Manga,3,Jul 1999 - Aug 1999,https://myanimelist.net/manga/16109/Sekaiichi_Zankoku_de_Utsukushii_Grimm_Douwa,https://cdn.myanimelist.net/r/100x140/images/manga/4/144579.jpgSem informaçõess=277fa1a45f9e5b689a79e9508b6a309c
7786,Shin Tokyo,Manga,Sem informações,May 2022 -,https://myanimelist.net/manga/147382/Shin_Tokyo,https://cdn.myanimelist.net/r/100x140/images/manga/3/272787.jpgSem informaçõess=f80c5692a77d7d8afc207e1e666f9b01
7787,Damdam!!,One-shot,Sem informações,Feb 2021 - Feb 2021,https://myanimelist.net/manga/134843/Damdam,https://cdn.myanimelist.net/r/100x140/images/manga/2/242562.jpgSem informaçõess=7bf966ce489eef33a45a7e4792bf0c81
7788,Jujutsu Kaisen: Yoake no Ibara Michi,Light-Novel,1,Jan 2020 - Jan 2020,https://myanimelist.net/manga/133048/Jujutsu_Kaisen__Yoake_no_Ibara_Michi,https://cdn.myanimelist.net/r/100x140/images/manga/2/244857.jpgSem informaçõess=1c8d784df369b6c05bb884a396278172
7789,Yume no Shiro: Mahou Tsukai Series,Manga,1,Nov 1995 - Sep 1998,https://myanimelist.net/manga/4030/Yume_no_Shiro__Mahou_Tsukai_Series,https://cdn.myanimelist.net/r/100x140/images/manga/2/4660.jpgSem informaçõess=011beae14a082f67877cb3e41ca325ef
